id,postcode,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name
21820,200,Australian National University,ACT,149.1189,-35.2777,,,Added 19-Jan-2020,,,,
687,2540,HMAS CRESWELL,ACT,150.61644,-34.863483,JERVIS BAY LPO,Delivery Area,Updated 6-Feb-2020,90103,Jervis Bay,901,Other Territories
691,2540,JERVIS BAY,ACT,150.61644,-34.863483,NOWRA DC,Delivery Area,Updated 6-Feb-2020,90103,Jervis Bay,901,Other Territories
1117,2600,BARTON,ACT,149.201072,-35.302911,CANBERRA SOUTH DC,Delivery Area,Updated 6-Feb-2020,80109,Woden,801,Australian Capital Territory
1118,2600,CANBERRA,ACT,149.201072,-35.302911,CANBERRA SOUTH DC,Delivery Area,Updated 6-Feb-2020,80109,Woden,801,Australian Capital Territory
1119,2600,CAPITAL HILL,ACT,149.201072,-35.302911,ACT and surrounding areas,,Updated 6-Feb-2020,80109,Woden,801,Australian Capital Territory
1120,2600,DEAKIN,ACT,149.201072,-35.302911,CANBERRA SOUTH DC,Delivery Area,Updated 6-Feb-2020,80109,Woden,801,Australian Capital Territory
1121,2600,DEAKIN WEST,ACT,149.201072,-35.302911,CANBERRA SOUTH DC,Delivery Area,Updated 6-Feb-2020,80109,Woden,801,Australian Capital Territory
1122,2600,DUNTROON,ACT,149.201072,-35.302911,CANBERRA SOUTH DC,Delivery Area,Updated 6-Feb-2020,80109,Woden,801,Australian Capital Territory
1123,2600,FAIRBAIRN RAAF,ACT,149.201072,-35.302911,ACT and surrounding areas,,Updated 6-Feb-2020,80109,Woden,801,Australian Capital Territory
1124,2600,HARMAN,ACT,149.201072,-35.302911,CANBERRA SOUTH DC,Delivery Area,Updated 6-Feb-2020,80109,Woden,801,Australian Capital Territory
1125,2600,HMAS HARMAN,ACT,149.201072,-35.302911,CANBERRA SOUTH DC,Delivery Area,Updated 6-Feb-2020,80109,Woden,801,Australian Capital Territory
1126,2600,PARKES,ACT,149.201072,-35.302911,CANBERRA SOUTH DC,Delivery Area,Updated 6-Feb-2020,80109,Woden,801,Australian Capital Territory
1127,2600,PARLIAMENT HOUSE,ACT,149.201072,-35.302911,CANBERRA SOUTH DC,Delivery Area,Updated 6-Feb-2020,80109,Woden,801,Australian Capital Territory
1128,2600,RUSSELL,ACT,149.201072,-35.302911,CANBERRA SOUTH DC,Delivery Area,Updated 6-Feb-2020,80109,Woden,801,Australian Capital Territory
1129,2600,RUSSELL HILL,ACT,149.201072,-35.302911,ACT and surrounding areas,,Updated 6-Feb-2020,80109,Woden,801,Australian Capital Territory
1130,2600,YARRALUMLA,ACT,149.201072,-35.302911,CANBERRA SOUTH DC,Delivery Area,Updated 6-Feb-2020,80109,Woden,801,Australian Capital Territory
1131,2601,ACTON,ACT,149.113796,-35.275863,CANBERRA GPO DC,Delivery Area,Updated 6-Feb-2020,80106,South Canberra,801,Australian Capital Territory
1132,2601,BLACK MOUNTAIN,ACT,149.113796,-35.275863,CANBERRA GPO DC,Delivery Area,Updated 6-Feb-2020,80106,South Canberra,801,Australian Capital Territory
1133,2601,CANBERRA,ACT,149.113796,-35.275863,CANBERRA GPO,Delivery Area,Updated 6-Feb-2020,80106,South Canberra,801,Australian Capital Territory
1134,2601,CITY,ACT,149.113796,-35.275863,ACT and surrounding areas,,Updated 6-Feb-2020,80106,South Canberra,801,Australian Capital Territory
1135,2602,AINSLIE,ACT,149.148147,-35.248071,MITCHELL DC,Delivery Area,Updated 6-Feb-2020,80105,North Canberra,801,Australian Capital Territory
1136,2602,DICKSON,ACT,149.148147,-35.248071,MITCHELL DC,Delivery Area,Updated 6-Feb-2020,80105,North Canberra,801,Australian Capital Territory
